p1,voxels,p2_minus_p1,baseAge,ageDiff,baseCVR,CVRdiff
[0; 0.0025),1457,0.0017 (0.0010),1.14 (0.82),1.62 (2.84),1.33 (0.49),1.21 (0.92)
[0.0025; 0.005),5620,0.0004 (0.0016),1.11 (0.94),1.04 (0.32),1.32 (0.42),1.24 (2.27)
[0.005; 0.01),4568,0.0007 (0.0024),1.09 (0.09),1.04 (0.22),1.29 (0.28),1.14 (0.57)
[0.01; 1),6970,0.0050 (0.0102),1.09 (0.06),1.04 (0.12),1.22 (0.17),1.12 (0.25)
[0; 1),18615,0.0023 (0.0067),1.10 (0.57),1.09 (0.84),1.28 (0.32),1.17 (1.32)
