scenario,scenario_type,replication,n_observations,x1_x2_corr,x2_clip_rate,probability_clip_rate,event_rate
base,standard,1,200,-6.082208675455836e-18,0.0,0.0,0.015
base,standard,2,200,1.1327497351999013e-17,0.0,0.0,0.035
base,standard,3,200,1.7789275647491888e-17,0.0,0.0,0.045
base,standard,4,200,6.247818598351413e-19,0.0,0.0,0.065
base,standard,5,200,1.1648782386138838e-17,0.0,0.0,0.03
base,standard,6,200,-1.1342020171206112e-17,0.0,0.0,0.045
base,standard,7,200,-6.082208675455836e-18,0.0,0.0,0.02
base,standard,8,200,6.664458190363463e-18,0.0,0.0,0.035
base,standard,9,200,-7.804713481084448e-18,0.0,0.0,0.035
base,standard,10,200,1.2375378093857077e-17,0.0,0.0,0.01
base,standard,11,200,-6.082208675455832e-18,0.0,0.0,0.04
base,standard,12,200,1.1206711627488343e-18,0.0,0.0,0.035
base,standard,13,200,-5.59539152347932e-18,0.0,0.0,0.055
base,standard,14,200,7.191472702131566e-20,0.0,0.0,0.01
base,standard,15,200,7.191472702131564e-20,0.0,0.0,0.065
base,standard,16,200,-8.51217481910878e-18,0.0,0.0,0.065
base,standard,17,200,2.1059884578386152e-18,0.0,0.0,0.045
base,standard,18,200,3.798905224589913e-18,0.0,0.0,0.04
base,standard,19,200,1.2412670766236412e-19,0.0,0.0,0.045
base,standard,20,200,4.312481243036678e-18,0.0,0.0,0.015
base,standard,21,200,1.2030366556195556e-17,0.0,0.0,0.01
base,standard,22,200,5.491821991341209e-18,0.0,0.0,0.01
base,standard,23,200,1.1327497351999017e-17,0.0,0.0,0.035
base,standard,24,200,-7.013158982923564e-18,0.0,0.0,0.02
base,standard,25,200,2.5667832135800375e-18,0.0,0.0,0.035
base,standard,26,200,2.1059884578386152e-18,0.0,0.0,0.035
base,standard,27,200,1.3101973801575321e-17,0.0,0.0,0.04
base,standard,28,200,1.9075906686619696e-18,0.0,0.0,0.075
base,standard,29,200,-3.909991291364464e-18,0.0,0.0,0.025
base,standard,30,200,1.1206711627488349e-18,0.0,0.0,0.025
base,standard,31,200,1.4558386499745456e-17,0.0,0.0,0.02
base,standard,32,200,-8.512174819108774e-18,0.0,0.0,0.05
base,standard,33,200,1.2942941925872237e-17,0.0,0.0,0.04
base,standard,34,200,-7.80471348108445e-18,0.0,0.0,0.035
base,standard,35,200,-7.804713481084451e-18,0.0,0.0,0.05
base,standard,36,200,7.184738758092509e-18,0.0,0.0,0.015
base,standard,37,200,1.337184364765359e-17,0.0,0.0,0.015
base,standard,38,200,1.1583207525709552e-17,0.0,0.0,0.015
base,standard,39,200,1.7789275647491888e-17,0.0,0.0,0.02
base,standard,40,200,2.9644591979379672e-18,0.0,0.0,0.015
base,standard,41,200,-4.6726182659772545e-18,0.0,0.0,0.045
base,standard,42,200,3.715594229434638e-19,0.0,0.0,0.03
base,standard,43,200,1.6173831073618683e-17,0.0,0.0,0.045
base,standard,44,200,-6.3897908050357816e-18,0.0,0.0,0.05
base,standard,45,200,1.3104486383259559e-17,0.0,0.0,0.035
base,standard,46,200,1.068888946473753e-17,0.0,0.0,0.06
base,standard,47,200,-9.927097495157444e-18,0.0,0.0,0.02
base,standard,48,200,1.4266161708625608e-17,0.0,0.0,0.02
base,standard,49,200,-3.909991291364465e-18,0.0,0.0,0.045
base,standard,50,200,1.4558386499745456e-17,0.0,0.0,0.045
base,standard,51,200,1.1327497351999017e-17,0.0,0.0,0.025
base,standard,52,200,5.49182199134121e-18,0.0,0.0,0.015
base,standard,53,200,-4.213130771631659e-18,0.0,0.0,0.04
base,standard,54,200,1.9404720221365117e-17,0.0,0.0,0.045
base,standard,55,200,-8.068235998053659e-19,0.0,0.0,0.045
base,standard,56,200,1.617383107361867e-17,0.0,0.0,0.04
base,standard,57,200,3.798905224589913e-18,0.0,0.0,0.025
base,standard,58,200,1.0195590970702356e-17,0.0,0.0,0.02
base,standard,59,200,-5.461575137144015e-18,0.0,0.0,0.01
