scenario,scenario_type,replication,method,true_beta_b,true_rr,log_effect,se_log_effect,rr_estimate,p0_hat,converged,finite,iterations,alpha,phi,bec_count,failure_reason,ci_lower,ci_upper,covered,coverage_eligible
base,standard,1,RR-GEE,1.6,4.953032424395115,2.101102626472939,1.1726182893600376,8.175179113674814,,True,True,6.0,-0.01932705252025551,1.4213203110219037,2.2165688541452107,,0.8210370946393138,81.4013812250776,True,True
base,standard,1,RR-PGEE,1.6,4.953032424395115,1.9846291035992165,0.8968989408094769,7.27634811358307,,True,True,7.0,-0.01780133531567334,1.8163385555720997,1.7193684892028573,,1.254503004551396,42.20415708687509,True,True
base,standard,1,OR-PGEE-ZY,1.6,4.953032424395115,2.014305310795072,0.9316405652594417,7.203094553545687,0.00625,True,True,8.0,-0.010421281002644422,0.5537457199741693,0.7065187225862387,,1.2056623035859309,36.227773724170355,True,True
base,standard,2,RR-GEE,1.6,4.953032424395115,2.4300337445287874,0.8976489422310433,11.359265386592012,,True,True,7.0,0.036722543207137456,1.0421413826244288,2.527638560301324,,1.9555552080290768,65.98274985704661,True,True
base,standard,2,RR-PGEE,1.6,4.953032424395115,2.3175864041150636,0.7373914192412715,10.15114395552666,,True,True,7.0,0.04298170807536125,1.3072067197476724,2.06601261028892,,2.3924687435035383,43.07087559059391,True,True
base,standard,2,OR-PGEE-ZY,1.6,4.953032424395115,2.4223319555268534,0.835664852081034,10.017256163755215,0.012195121951219513,True,True,7.0,0.04214265245226073,0.7891771095579486,0.9561841554004162,,2.159844792126403,34.21108118304178,True,True
base,standard,3,RR-GEE,1.6,4.953032424395115,2.784009091712597,0.8882066302396854,16.183773293642187,,True,True,7.0,0.07444444869166053,0.9491475836193369,3.232299436014169,,2.8381603710430285,92.28319889610468,True,True
base,standard,3,RR-PGEE,1.6,4.953032424395115,2.6262178022590374,0.7218454009224262,13.821395668236516,,True,True,7.0,0.08860545970546976,1.2360595825239646,2.59091122251636,,3.358272866684935,56.883697603322034,True,True
base,standard,3,OR-PGEE-ZY,1.6,4.953032424395115,2.797737384891328,0.8607243894657746,13.812218765852947,0.012195121951219513,True,True,11.0,0.09621971508537767,0.8545723802637074,1.242887976634456,,2.9630378553964487,42.84942331354723,True,True
base,standard,4,RR-GEE,1.6,4.953032424395115,1.4191861667524241,0.6657351408148807,4.133754883774527,,True,True,5.0,0.1027318522171725,1.0437338773046752,1.3139148297702121,,1.1211660586549448,15.241211867963631,True,True
base,standard,4,RR-PGEE,1.6,4.953032424395115,1.3808083229005315,0.5916908596913387,3.978115930429933,,True,True,5.0,0.10783758766731481,1.1941986262162256,1.1521153165451672,,1.2474675645240092,12.686026319232464,True,True
base,standard,4,OR-PGEE-ZY,1.6,4.953032424395115,1.48162737106841,0.6961816845259502,3.9354812961155283,0.034722222222222224,True,True,6.0,0.11359876091234929,0.896026658996892,1.025628664108255,,1.119442284733066,11.016223077936834,True,True
base,standard,5,RR-GEE,1.6,4.953032424395115,0.4595323293795123,0.8748433443720584,1.583333333335031,,True,True,4.0,0.09816151202752749,1.015463917526032,1.0296293870069038,,0.28503904226158305,8.795091453293521,True,True
base,standard,5,RR-PGEE,1.6,4.953032424395115,0.5684184885705972,0.6862170489593846,1.7654727270920234,,True,True,7.0,0.10358672808107805,1.2604041531257761,0.8207930848735894,,0.45999382524609006,6.77594736937665,True,True
base,standard,5,OR-PGEE-ZY,1.6,4.953032424395115,0.5715092312713689,0.7429475516488834,1.735723711227732,0.02631578947368421,True,True,7.0,0.08517233649711925,0.8238421990090175,0.8169313277136734,,0.41934151935267955,6.472712175776479,True,True
base,standard,6,RR-GEE,1.6,4.953032424395115,1.2769259562550301,0.6839382160596127,3.585600473982305,,True,True,5.0,0.09114032808833683,1.0201360909991666,1.2653050849031178,,0.9384100097508105,13.700334209389037,True,True
base,standard,6,RR-PGEE,1.6,4.953032424395115,1.2521137924872443,0.5801151462710481,3.4977286213136103,,True,True,6.0,0.09066316742726327,1.208821028937002,1.0712507614385842,,1.1219957272181704,10.903878875447358,True,True
base,standard,6,OR-PGEE-ZY,1.6,4.953032424395115,1.3088655914801013,0.6343887014563124,3.45002904772195,0.02702702702702703,True,True,5.0,0.07503229327985556,0.8701774071616515,0.9513542734847037,,1.0657290393528915,9.724973491517735,True,True
base,standard,7,RR-GEE,1.6,4.953032424395115,2.5142628228017063,1.0993694814474146,12.357495756468952,,True,True,7.0,-0.026847319392345394,1.4033286059905978,2.8927595508845942,,1.432667703788897,106.58975627585552,True,True
base,standard,7,RR-PGEE,1.6,4.953032424395115,2.3577736681866464,0.8499978778858648,10.567398708121889,,True,True,8.0,-0.026724660969614143,1.7634828460506562,2.3332073996603713,,1.99732431149505,55.90975627429695,True,True
base,standard,7,OR-PGEE-ZY,1.6,4.953032424395115,2.4139937770590114,0.879713401995349,10.509920372075804,0.00625,True,True,8.0,-0.016599334064874825,0.5703515519500499,0.9359668261622889,,1.9809931552056337,45.24511077461663,True,True
base,standard,8,RR-GEE,1.6,4.953032424395115,1.5275562935415516,0.7997129009434131,4.606905131733651,,True,True,6.0,-0.0029198937035390597,1.0184717670349617,1.4049026315088595,,0.9609314636667445,22.08646058045434,True,True
base,standard,8,RR-PGEE,1.6,4.953032424395115,1.558601091465291,0.677241002747419,4.752168743688285,,True,True,7.0,-0.0023948771628960986,1.1885630840044665,1.197162980396354,,1.2601529685763146,17.920925738088496,True,True
base,standard,8,OR-PGEE-ZY,1.6,4.953032424395115,1.622346682930277,0.7763062915084616,4.627505601210041,0.023255813953488372,True,True,6.0,-0.0001484187707050766,0.8678559002781822,0.9139834743582834,,1.103349524226576,15.297920652016353,True,True
base,standard,9,RR-GEE,1.6,4.953032424395115,-0.7171657284935058,1.0584468317920328,0.48813380092168074,,True,True,5.0,0.024276883609640948,1.0071680946365313,1.4185156798007132,,0.06131790452427269,3.885889601917595,False,True
base,standard,9,RR-PGEE,1.6,4.953032424395115,-0.43194949145671807,0.7583383526508062,0.6492421681331659,,True,True,6.0,0.03143089387922875,1.2489188614021045,1.1292602777012823,,0.14686149448594268,2.870155954477235,False,True
base,standard,9,OR-PGEE-ZY,1.6,4.953032424395115,-0.4695586813065662,0.819629968567085,0.6349235485543955,0.04054054054054054,True,True,6.0,0.02773932077167126,0.8287784725381424,0.9895705915760932,,0.13004112047471753,2.8706695209536486,False,True
base,standard,10,RR-GEE,1.6,4.953032424395115,-25.03704220641828,1.0281135850963292,1.3382915214895535e-11,,False,True,25.0,0.28859671893415284,1.9669058888412674,184776.6458685414,,,,False,False
base,standard,10,RR-PGEE,1.6,4.953032424395115,-1.0209503256117727,0.8449306187738634,0.36025242034441707,,True,True,8.0,0.3063362508542788,2.622364579047648,1.0562718849369572,,0.06877025911255526,1.887179255084653,False,True
base,standard,10,OR-PGEE-ZY,1.6,4.953032424395115,-1.067498394398544,0.8856696894295056,0.3468622363789841,0.013157894736842105,True,True,10.0,0.12910353915994732,0.41763552725604547,0.8185155493024493,,0.061363406888407045,1.926964108209974,False,True
base,standard,11,RR-GEE,1.6,4.953032424395115,2.4870892740211374,0.8732825418331769,12.026220094695638,,True,True,6.0,0.051505254548350664,1.0110742705810634,2.481736769968674,,2.171649340727015,66.59913599017906,True,True
base,standard,11,RR-PGEE,1.6,4.953032424395115,2.3533896192836203,0.7142241399820692,10.521172119259923,,True,True,7.0,0.06014907619325008,1.2781000661230248,2.027460877389314,,2.5948689854210674,42.659210690411754,True,True
base,standard,11,OR-PGEE-ZY,1.6,4.953032424395115,2.471063261182576,0.8097820249428103,10.423313281027731,0.0125,True,True,7.0,0.05932652913073957,0.8136441109614817,1.0543313911270835,,2.378145130636975,33.82494855515368,True,True
base,standard,12,RR-GEE,1.6,4.953032424395115,0.9231250911350171,0.761699148830731,2.517144416972208,,True,True,5.0,0.10724122816143997,1.071480284584869,1.1967898719550085,,0.5656511080990451,11.20127924293737,True,True
base,standard,12,RR-PGEE,1.6,4.953032424395115,0.9690546377529364,0.630260153705643,2.635451824659438,,True,True,6.0,0.11049669931297869,1.302446827613264,0.9749955045152796,,0.7662609017698636,9.06428385430891,True,True
base,standard,12,OR-PGEE-ZY,1.6,4.953032424395115,1.0135509269353176,0.6903868644974637,2.63669177953141,0.02564102564102564,True,True,5.0,0.08811844571455554,0.8041498982569624,0.8197755728173823,,0.7173637880348877,8.545013510658443,True,True
base,standard,13,RR-GEE,1.6,4.953032424395115,1.5482873026408448,0.717348860687802,4.703407766261669,,True,True,6.0,0.15994440424883455,0.9558972992117049,1.6032556684366979,,1.1529332778840247,19.18761912773574,True,True
base,standard,13,RR-PGEE,1.6,4.953032424395115,1.4829422030245432,0.6094558917804586,4.4058896515450545,,True,True,6.0,0.16375676888942892,1.181081310378044,1.3090340912962017,,1.3343317503169347,14.548003985501378,True,True
base,standard,13,OR-PGEE-ZY,1.6,4.953032424395115,1.6063839639578226,0.7128401653141622,4.48798884275569,0.027777777777777776,True,True,7.0,0.15357442653889056,0.9164637684555383,1.2315142620976192,,1.224825763391723,13.15589586200892,True,True
base,standard,14,RR-GEE,1.6,4.953032424395115,1.2656663733481623,1.3723883865069615,3.5454545455144157,,True,True,5.0,-0.009949494949447454,0.9949494949531437,1.2435364386837193,,0.24070926645117796,52.221703466735484,True,True
base,standard,14,RR-PGEE,1.6,4.953032424395115,1.2656663720828905,0.9253161295010262,3.5454545410284517,,True,True,10.0,-0.007499725439057918,1.4831199062838283,0.8321863872914838,,0.5781511634436616,21.742147551215957,True,True
base,standard,14,OR-PGEE-ZY,1.6,4.953032424395115,1.2689922978167354,0.9695710012449897,3.4998932804997445,0.00641025641025641,True,True,8.0,-0.005331247099382316,0.6773341481323419,0.7153306748887615,,0.5334837419129997,20.758458457760913,True,True
