scenario,scenario_type,method,n_used,true_beta_b,mean_beta,bias_beta,mse_beta,n_unconditional,bias_beta_unconditional,mse_beta_unconditional
beta_b_1.4,standard,RR-GEE,796,1.4,1.4034050077282132,0.0034050077282133623,0.6406023916347041,837,0.06618170021825227,0.7178474322490601
beta_b_1.4,standard,RR-PGEE,796,1.4,1.4092246093502734,0.00922460935027343,0.46184696331161745,985,0.05933354244669454,1.4751274281690379
beta_b_1.8,standard,OR-GEE-ZY,829,1.8,1.7360144388938374,-0.06398556110616269,0.6142282897720852,886,0.0006014590350158239,0.6597701204399433
beta_b_1.8,standard,OR-PGEE-ZY,829,1.8,1.6834750115574708,-0.11652498844252927,0.4755227569062883,897,-0.05439100819747726,1.0125813723620092
beta_b_1.8,standard,RR-GEE,829,1.8,1.7209340430186226,-0.07906595698137724,0.6082551579982768,900,0.006765470976271312,0.6728730492080764
beta_b_1.8,standard,RR-PGEE,829,1.8,1.6853401950151483,-0.11465980498485157,0.4599847806435699,988,0.09576031188917272,1.246243741279036
beta_b_2,standard,OR-GEE-ZY,805,2.0,1.9063651583064616,-0.09363484169353854,0.5715344806417698,886,-0.008161945826007676,0.6062806137635589
beta_b_2,standard,OR-PGEE-ZY,805,2.0,1.8345515496945408,-0.1654484503054593,0.46311547055715524,859,-0.06390819739794806,0.961481067979882
beta_b_2,standard,RR-GEE,805,2.0,1.8894279201012099,-0.11057207989879006,0.5688277935872702,909,0.006814151108580571,0.6316002720230283
beta_b_2,standard,RR-PGEE,805,2.0,1.8336334646986243,-0.16636653530137555,0.44623678153261326,985,0.09695793097468734,1.1366826120863076
confounded_shift_0_50,confounded,OR-GEE-ZY,828,1.6,1.4679873671759964,-0.1320126328240037,1.399797277978084,874,-0.07009411979473262,1.4468835244285867
confounded_shift_0_50,confounded,OR-PGEE-ZY,828,1.6,1.449995781397988,-0.1500042186020121,1.0929566601926837,909,-0.1170673333393443,2.1026683804058934
confounded_shift_0_50,confounded,RR-GEE,828,1.6,1.4850032306333023,-0.114996769366698,1.4667032738655839,886,-0.03622298720138566,1.5395837087332616
confounded_shift_0_50,confounded,RR-PGEE,828,1.6,1.4773415373358836,-0.12265846266411663,1.136945083729476,985,0.06730694691734407,2.451655898188326
n_100,standard,OR-GEE-ZY,987,1.6,1.5934365679442783,-0.006563432055721619,0.49922117400944216,992,-0.001343206576726645,0.5023994896488174
n_100,standard,OR-PGEE-ZY,987,1.6,1.5722189246617144,-0.027781075338285693,0.4090566811517445,993,-0.03244222325583912,0.442061879112145
n_100,standard,RR-GEE,987,1.6,1.5861787704845116,-0.013821229515488349,0.49562944053506724,995,-0.006041308338406321,0.501148438992564
n_100,standard,RR-PGEE,987,1.6,1.5751711454119692,-0.024828854588030982,0.4018202724048214,1000,-0.022287408112771103,0.43753942416378844
n_25,standard,OR-GEE-ZY,453,1.6,1.3958932219828264,-0.2041067780171737,0.6918012392009566,522,-0.07568872992769808,0.711647730707321
n_25,standard,OR-PGEE-ZY,453,1.6,1.3559549878825214,-0.2440450121174785,0.52438625356142,725,-0.3652670695353895,2.2948505008958944
n_25,standard,RR-GEE,453,1.6,1.3745562326778542,-0.2254437673221458,0.6830524077718282,544,-0.03676733193181347,0.7512623227357806
n_25,standard,RR-PGEE,453,1.6,1.3637179630047445,-0.23628203699525555,0.5002445784537587,913,0.2016553780121094,3.437936501160174
