scenario,scenario_type,replication,method,true_beta_b,true_rr,log_effect,se_log_effect,rr_estimate,p0_hat,converged,finite,iterations,alpha,phi,bec_count,failure_reason,ci_lower,ci_upper,covered,coverage_eligible
base,standard,1,RR-GEE,1.6,4.953032424395115,1.386294361839197,1.3693063932901377,4.000000002877226,,True,True,5.0,-0.009949494947326219,0.994949495090463,1.3085975066279447,,0.2732148347462797,58.561973905539084,True,True
base,standard,1,RR-PGEE,1.6,4.953032424395115,1.3862943577075537,0.9237963188188626,3.9999999863506526,,True,True,9.0,-0.007500172033376452,1.483075742559801,0.8757523408740485,,0.6542189770797087,24.45664288465881,True,True
base,standard,1,OR-GEE-ZY,1.6,4.953032424395115,1.4053425565264372,1.4119328504544466,4.000000001699823,0.00625,True,True,5.0,-0.010159651666962179,0.9999942446188492,1.057980258401317,,0.25734567182477724,46.37232984229142,True,True
base,standard,1,OR-PGEE-ZY,1.6,4.953032424395115,1.390143296362862,0.9703377226775834,3.9411489042445,0.00625,True,True,8.0,-0.0053568542614147565,0.6771705340563681,0.7176160505160007,,0.6009897868038125,23.14914341225016,True,True
base,standard,2,RR-GEE,1.6,4.953032424395115,3.123987758166973,1.0698784649044908,22.736868231940214,,True,True,7.0,-0.0033075686519100974,0.8531595974702874,4.177170950789783,,2.7928553602973953,185.102739062564,True,True
base,standard,2,RR-PGEE,1.6,4.953032424395115,2.864430133959575,0.7588012349329342,17.539055444086344,,True,True,8.0,-0.0015879772530806983,1.2368240035660811,3.1589738609134903,,3.9638153833727467,77.6066582619161,True,True
base,standard,2,OR-GEE-ZY,1.6,4.953032424395115,3.2704091054126927,1.131167557454648,22.801485926484812,0.006097560975609756,True,True,6.0,-0.004286233578878268,1.2128021589619609,1.519634505665579,,2.8349943701974247,97.93664474406678,True,True
base,standard,2,OR-PGEE-ZY,1.6,4.953032424395115,2.971579562143288,0.8180529531560814,17.541530877981938,0.006097560975609756,True,True,9.0,-0.0017727615396824104,0.8359423906035327,1.1019247794327858,,3.8594583533897,61.1931659909214,True,True
base,standard,3,RR-GEE,1.6,4.953032424395115,3.4622576412625365,1.137132389722172,31.888888979425744,,True,True,7.0,0.08208333312092185,1.026041667106659,5.07734814299202,,3.4332904347386846,296.18852808167384,True,True
base,standard,3,RR-PGEE,1.6,4.953032424395115,3.15335852349899,0.8240069690447944,23.4145710613474,,True,True,9.0,0.10951119478628911,1.4782534483768546,3.8542699451123776,,4.6568280535129,117.72866244724628,True,True
base,standard,3,OR-GEE-ZY,1.6,4.953032424395115,3.672364519874801,1.2338027634368303,31.888888888868323,0.006097560975609756,True,True,6.0,0.10048656653268856,0.9999989657828208,1.617972610608795,,3.4521504810258,119.791101074431,True,True
base,standard,3,OR-PGEE-ZY,1.6,4.953032424395115,,,,,False,False,,,,,FloatingPointError('Non-positive variance vector'),,,False,False
base,standard,4,RR-GEE,1.6,4.953032424395115,1.0861756864363374,0.6538585319776211,2.962921238121301,,True,True,5.0,0.13039157819985053,1.0686037356482954,1.1838524439348486,,0.8225356225214155,10.672975155044663,True,True
base,standard,4,RR-PGEE,1.6,4.953032424395115,1.075126098744399,0.5787763573665351,2.930362392255288,,True,True,5.0,0.13199852013813398,1.2135535195484954,1.0421037796015769,,0.9424666764871893,9.111222671500851,True,True
base,standard,4,OR-GEE-ZY,1.6,4.953032424395115,1.1804235765042388,0.7293292233507136,2.9760362004138416,0.041666666666666664,True,True,5.0,0.13416827738984088,0.9863858482954978,1.0931460340499188,,0.7867791675671706,8.916983669208658,True,True
base,standard,4,OR-PGEE-ZY,1.6,4.953032424395115,1.1530730775969251,0.6648122898272792,2.9054635125106385,0.041666666666666664,True,True,6.0,0.1230238573093757,0.8853536682408842,0.9759008175589117,,0.8657867331821976,8.073415893345288,True,True
base,standard,5,RR-GEE,1.6,4.953032424395115,0.873749288397037,0.6882488211570466,2.3958768682766376,,True,True,5.0,-0.036510029203215215,1.0444116497257177,1.1077798995705064,,0.6217646627947734,9.232152149241315,True,True
base,standard,5,RR-PGEE,1.6,4.953032424395115,0.9000558912125363,0.5941786422983028,2.45974058519895,,True,True,6.0,-0.03531848349908945,1.202148439023051,0.9592018332651642,,0.7675797868815145,7.882338552785281,True,True
base,standard,5,OR-GEE-ZY,1.6,4.953032424395115,0.9116965798925207,0.7310450945076912,2.3947341246189078,0.02631578947368421,True,True,5.0,-0.03647521374366564,0.9772235550438994,1.0109007331464057,,0.6002675311425666,8.35522186614437,True,True
base,standard,5,OR-PGEE-ZY,1.6,4.953032424395115,0.9271275411141793,0.6414612091081223,2.4295927793494814,0.02631578947368421,True,True,5.0,-0.031198783403033347,0.8580986967399941,0.8848479883370711,,0.7242005436790651,7.35820147190654,True,True
base,standard,6,RR-GEE,1.6,4.953032424395115,1.2998367498378294,0.7409630893142771,3.66869770323505,,True,True,5.0,0.1281795473807779,0.9930727550576675,1.2904899762054478,,0.8586239587945221,15.67548016784737,True,True
